100000000,Lí_ Trí_c Lan,FALSE,45,Bíçc sÛ©,http://vietnamnet.vn/,Wed Nov 28 09:54:53 ICT 2018
100000001,Nguyàéƒn Nhà__t ính,FALSE,45,Thanh tra,https://www.vietnamplus.vn/,Wed Nov 28 09:54:54 ICT 2018
100000002,Trà__n YíÈn ían,FALSE,19,Y tíç,tuoitre.vn,Wed Nov 28 09:54:54 ICT 2018
100000003,D¨Á¨çng Giang Nam,TRUE,36,Y tíç,https://www.24h.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000004,Hàéñ Nhí£ Lí_,FALSE,52,CíÇng nhí¢n,http://kenh14.vn/,Wed Nov 28 09:54:54 ICT 2018
100000005,V© Và_çn Thà_¿ng,TRUE,56,CíÇng nhí¢n,https://www.vietnamplus.vn/,Wed Nov 28 09:54:54 ICT 2018
100000006,Phà_çm Hàé¿u Ph¨Áàé_c,TRUE,65,Kàé_ s¨Á,https://www.vietnamplus.vn/,Wed Nov 28 09:54:54 ICT 2018
100000007,Phà_çm Ph¨Áàé£ng Loan,FALSE,30,Luà__t s¨Á,https://vtc.vn/,Wed Nov 28 09:54:54 ICT 2018
100000008,LíÈ Thanh Tuyà_Ët,FALSE,59,Giíçm Ûïàéïc,http://vietnamnet.vn/,Wed Nov 28 09:54:54 ICT 2018
100000009,LíÈ Ngàéc Thàé,TRUE,67,Y tíç,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
100000010,D¨Á¨çng Lí¢m Nhi,FALSE,47,Y tíç,http://vietnamnet.vn/,Wed Nov 28 09:54:54 ICT 2018
100000011,LíÈ Viàéˆt Tuyà_Ët,FALSE,22,Giíçm Ûïàéïc,http://kenh14.vn/,Wed Nov 28 09:54:54 ICT 2018
100000012,Ûàé„ Ngàéc Dung,FALSE,52,Thanh tra,http://kenh14.vn/,Wed Nov 28 09:54:54 ICT 2018
100000013,Hoíæng Chi Mai,FALSE,60,Y tíç,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
100000014,D¨Á¨çng Khíçnh Trang,FALSE,58,Nhí¢n viíÈn,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
